actor_name,num_movies
Ruth Wilson,3
Adam Brown,3
Evan Parke,3
Omar Sy,3
Helen McCrory,3
B.J. Novak,3
Don Rickles,3
Elizabeth Debicki,3
Steve Bisley,3
Liam James,3
Russell Wong,3
Robin Atkin Downes,3
Mindy Kaling,3
Bipasha Basu,3
Abraham Benrubi,3
Craig Ferguson,3
Nick Stahl,3
Matt Smith,3
Maurice LaMarche,3
Steve Bastoni,3
Art Malik,3
Toby Stephens,3
Rick Yune,3
Zach Woods,3
Richard Burgi,3
Chad Lindberg,3
María Valverde,3
Matt Frewer,3
Mark Rylance,3
Andy Richter,3
T.I.,3
April Winchell,3
Henry Rollins,3
Ralph Ineson,3
Miguel Ferrer,3
Clive Russell,3
Ato Essandoh,3
Zoë Bell,3
Ian McDiarmid,3
Spencer Breslin,3
Anika Noni Rose,3
Donald Glover,3
Tobias Menzies,3
Jenette Goldstein,3
Roma Maffia,3
Gary Lewis,3
Troy Evans,3
Seth Gilliam,3
Liza Minnelli,3
Elton John,3
AJ Michalka,3
Alexander Gould,3
Megalyn Echikunwoke,3
Linda Fiorentino,3
Joey Slotnick,3
Kelly Lynch,3
Kevin Chamberlin,3
Joshua Mikel,3
Marsha Thomason,3
Marc John Jefferies,3
Larry King,3
Leven Rambin,3
Sandahl Bergman,3
Jami Gertz,3
Jim Carter,3
Michael Palin,3
Wood Harris,3
Julie Kavner,3
Anthony Edwards,3
Mike Tyson,3
Henry Czerny,3
Mika Boorem,3
Michael Emerson,3
Charlie Rowe,3
Adam LeFevre,3
Veronica Cartwright,3
Christian Berkel,3
Paz Vega,3
Brían F. O'Byrne,3
Alexis Dziena,3
Tim McGraw,3
Raven-Symoné,3
Ron Rifkin,3
Chelcie Ross,3
Sandrine Holt,3
Rory Cochrane,3
Talisa Soto,3
Neil Maskell,3
Luke Newberry,3
Jenna Fischer,3
Graham McTavish,3
Simon McBurney,3
Mitch Pileggi,3
Lisa Edelstein,3
Aisha Tyler,3
Eric Lloyd,3
Stuart Wilson,3
Finn Wittrock,3
Courtney B. Vance,3
William Devane,3
Quvenzhané Wallis,3
Gerald McRaney,3
Martin Henderson,3
Michael Smiley,3
Dee Bradley Baker,3
Dyan Cannon,3
Elaine Stritch,3
Bianca Kajlich,3
Oliver Hudson,3
Patrick Kilpatrick,3
Gary Dourdan,3
Michael Lerner,3
Bojana Novakovic,3
Carrie Preston,3
Philip Winchester,3
Camryn Manheim,3
Ulrich Thomsen,3
Mike Dopud,3
Leonard Roberts,3
Odeya Rush,3
Kim Shaw,3
Brian Thompson,3
Irene Bedard,3
Jack Palance,3
Thomas McDonell,3
Holt McCallany,3
Om Puri,3
Matt Lucas,3
Russell Tovey,3
Lauren Holly,3
Denis Lavant,3
Shelley Winters,3
Jon Seda,3
Amanda Detmer,3
Bernadette Peters,3
Ann-Margret,3
Alice Greczyn,3
Mircea Monroe,3
Megan Park,3
Chandler Canterbury,3
Derek Mears,3
Amr Waked,3
Kayvan Novak,3
James Badge Dale,3
Michael Cudlitz,3
Jon Tenney,3
Phoebe Cates,3
John Billingsley,3
Tim Matheson,3
Rita Wilson,3
Vanessa Ferlito,3
Lara Flynn Boyle,3
Leland Orser,3
Amy Ryan,3
Jacqueline Bisset,3
Jenny McCarthy,3
Candice Bergen,3
Traci Lords,3
Kari Wuhrer,3
Ian Richardson,3
José Ferrer,3
Robert Clohessy,3
Tim McInnerny,3
Michael Nouri,3
Masi Oka,3
Reggie Lee,3
Anthony Zerbe,3
Dong-gun Jang,3
William Bassett,3
Scott Elrod,3
Javier Botet,3
Terry Kinney,3
Andrew Fiscella,3
Joaquim de Almeida,3
